sku,category_ids
QCNBB000896,"3,148"
QCNBB000897,"3,148"
QCNBB000898,"3,148"
QCNBB000899,"3,148"
QCNBB000900,"3,148"
QCNBB000901,"3,148"
QCNBB000902,"3,148"
QCNBB000903,"3,148"
QCNBB000904,"3,148"
QCNBB000906,"3,148"
QCNBB000908,"3,148"
QCNBB000909,"3,148"
QCNBB000910,"3,148"
QCNBB000911,"3,148"
QCNBB000912,"3,148"
QCNBB000913,"3,148"
QCNBB000914,"3,148"
QCNBB000915,"3,148"
QCNBB000917,"3,148"
QCNBB000918,"3,148"
QCNBB000919,"3,148"
QCNBB000920,"3,148"
QCNBB000921,"3,148"
QCNBB000922,"3,148"
QCNBB000923,"3,148"
QCNBB000925,"3,148"
QCNBB000926,"3,148"
QCNBB000927,"3,148"
QCNBB000928,"3,148"
QCNBB000929,"3,148"
QCNBB000930,"3,148"
QCNBB000931,"3,148"
QCNBB000932,"3,148"
QCNBB000933,"3,148"
QCNBB000916,"3,148"
QCNBB000934,"3,148"
QCNBB000935,"3,148"
QCNBB000936,"3,148"
QCNBB000937,"3,148"
QCNBB000938,"3,148"
QCNBB000939,"3,148"
QCNBB000940,"3,148"
QCNBB000941,"3,148"
QCNBB000942,"3,148"
QCNBB000943,"3,148"
QCNBB000944,"3,148"
QCNBB000945,"3,148"
QCNBB000946,"3,148"
QCNBB000947,"3,148"
QCNBB000948,"3,148"
QCNBB000949,"3,148"
QCNBB000950,"3,148"
QCNBB000951,"3,148"
QCNBB000952,"3,148"
QCNBB000953,"3,148"
QCNBB000954,"3,148"
QCNBB000955,"3,148"
QCNBB000956,"3,148"
QCNBB000957,"3,148"
QCNBB000958,"3,148"
QCNBB000959,"3,148"
QCNBB000960,"3,148"
QCNBB000961,"3,148"
QCNBB000962,"3,148"
QCNBB000963,"3,148"
QCNBB000964,"3,148"
QCNBB000965,"3,148"
QCNBB000966,"3,148"
QCNBB000967,"3,148"
QCNBB000968,"3,148"
QCNBB000969,"3,148"
QCNBB000970,"3,148"
QCNBB000971,"3,148"
QCNBB000972,"3,148"
QCNBB000973,"3,148"
QCNBB000974,"3,148"
QCNBB000975,"3,148"
QCNBB000976,"3,148"
QCNBB000977,"3,148"
QCNBB000978,"3,148"
QCNBB000979,"3,148"
QCNBB000980,"3,148"
QCNBB000981,"3,148"
QCNBB000982,"3,148"
QCNBB000983,"3,148"
QCNBB000984,"3,148"
QCNBB000985,"3,148"
QCNBB000986,"3,148"
QCNBB000987,"3,148"
QCNBB000988,"3,148"
QCNBB000989,"3,148"
QCNBB000990,"3,148"
QCNBB000991,"3,148"
QCNBB000992,"3,148"
QCNBB000993,"3,148"
QCNBB000994,"3,148"
QCNBB000995,"3,148"
QCNBB000996,"3,148"
QCNBB000997,"3,148"
QCNBB000998,"3,148"
QCNBB000999,"3,148"
QCNBB001000,"3,148"
QCNBB001001,"3,148"
QCNBB001002,"3,148"
QCNBB001003,"3,148"
QCNBB001004,"3,148"
QCNBB001005,"3,148"
QCNBB001006,"3,148"
QCNBB001007,"3,148"
QCNBB001008,"3,148"
QCNBB001009,"3,148"
QCNBB001010,"3,148"
QCNBB001011,"3,148"
QCNBB001012,"3,148"
QCNBB001013,"3,148"
QCNBB001014,"3,148"
QCNBB001015,"3,148"
QCNBB001016,"3,148"
QCNBB001017,"3,148"
QCNBB001018,"3,148"
QCNBB001019,"3,148"
QCNBB001020,"3,148"
QCNBB001021,"3,148"
QCNBB001022,"3,148"
QCNBB001023,"3,148"
QCNBB001024,"3,148"
QCNBB001025,"3,148"
QCNBB001026,"3,148"
QCNBB001027,"3,148"
QCNBB001028,"3,148"
QCNBB001029,"3,148"
QCNBB001030,"3,148"
QCNBB001031,"3,148"
QCNBB001032,"3,148"
QCNBB001033,"3,148"
QCNBB001034,"3,148"
QCNBB001035,"3,148"
QCNBB001036,"3,148"
QCNBB001037,"3,148"
QCNBB001038,"3,148"
QCNBB001039,"3,148"
QCNBB001040,"3,148"
QCNBB001041,"3,148"
QCNBB001042,"3,148"
QCNBB001043,"3,148"
QCNBB001044,"3,148"
QCNBB001045,"3,148"
QCNBB001046,"3,148"
QCNBB001047,"3,148"
QCNBB001048,"3,148"
QCNBB001049,"3,148"
QCNBB001050,"3,148"
QCNBB001051,"3,148"
QCNBB001052,"3,148"
QCNBB001053,"3,148"
QCNBB001054,"3,148"
QCNBB001055,"3,148"
QCNBB001056,"3,148"
QCNBB001057,"3,148"
QCNBB001058,"3,148"
QCNBB001059,"3,148"
QCNBB001060,"3,148"
QCNBB001061,"3,148"
QCNBB001062,"3,148"
QCNBB001063,"3,148"
QCNBB001064,"3,148"
QCNBB001065,"3,148"
QCNBB001066,"3,148"
QCNBB001067,"3,148"
QCNBB001068,"3,148"
QCNBB001069,"3,148"
QCNBB001070,"3,148"
QCNBB001071,"3,148"
QCNBB001072,"3,148"
QCNBB001073,"3,148"
QCNBB001074,"3,148"
QCNBB001075,"3,148"
QCNBB001076,"3,148"
QCNBB001077,"3,148"
QCNBB001078,"3,148"
QCNBB001079,"3,148"
QCNBB001080,"3,148"
QCNBB001081,"3,148"
QCNBB001082,"3,148"
QCNBB001083,"3,148"
QCNBB001084,"3,148"
QCNBB001085,"3,148"
QCNBB001086,"3,148"
QCNBB001087,"3,148"
QCNBB001088,"3,148"
QCNBB001089,"3,148"
QCNBB001090,"3,148"
QCNBB001091,"3,148"
QCNBB001092,"3,148"
QCNBB001093,"3,148"
QCNBB001094,"3,148"
QCNBB001095,"3,148"
QCNBB001096,"3,148"
QCNBB001097,"3,148"
QCNBB001098,"3,148"
QCNBB001099,"3,148"
QCNBB001100,"3,148"
QCNBB001101,"3,148"
QCNBB001102,"3,148"
QCNBB001103,"3,148"
QCNBB001104,"3,148"
QCNBB001105,"3,148"
QCNBB001106,"3,148"
QCNBB001107,"3,148"
QCNBB001108,"3,148"
QCNBB001109,"3,148"
QCNBB001110,"3,148"
QCNBB001111,"3,148"
QCNBB001112,"3,148"
QCNBB001113,"3,148"
QCNBB001114,"3,148"
QCNBB001115,"3,148"
QCNBB001116,"3,148"
QCNBB001117,"3,148"
QCNBB001118,"3,148"
QCNBB001119,"3,148"
QCNBB001120,"3,148"
QCNBB001121,"3,148"
QCNBB001122,"3,148"
QCNBB001123,"3,148"
QCNBB001124,"3,148"
QCNBB001125,"3,148"
QCNBB001126,"3,148"
QCNBB001127,"3,148"
QCNBB001128,"3,148"
QCNBB001129,"3,148"
QCNBB001130,"3,148"
QCNBB001131,"3,148"
QCNBB001132,"3,148"
